연번,업소명,소재지,Latitude,Longitude,취급품목,전화번호,지정일자
86,해담촌,"광주광역시 북구 참판로 91, (두암동)",35.1659959,126.9329247,"소고기, 돼지고기",062-268-6692,2010-09-02
87,어울림숯불구이,"광주광역시 서구 상무시민로 129, (치평동,(일층))",35.1554434,126.8533131,돼지갈비,062-385-5292,2010-07-01
88,어울림숯불구이,"광주광역시 서구 상무시민로 129, (치평동,(일층))",35.1554434,126.8533131,돼지갈비,062-385-5292,2010-07-01
89,빈드럭스,"광주광역시 동구 지호로124번길 32, (지산동,(2층))",35.1469813,126.9438498,양탕,062-382-2400,2010-06-30
90,빈드럭스,"광주광역시 동구 지호로124번길 32, (지산동,(2층))",35.1469813,126.9438498,양탕,062-382-2400,2010-06-30
91,제일중화요리,"광주광역시 동구 구성로 174, 1,2층 (금남로5가)",35.1544587,126.9116066,짜장면,062-224-6670,2010-06-30
92,금다연,"광주광역시 서구 상무연하로 72, (치평동,골든유토피아2층(202호))",35.1546015,126.8504625,한정식,062-385-0002,2010-07-01
93,돈부리 바쇼 아카츠키,"광주광역시 동구 중앙로160번길 16-5, (불로동,(1층))",35.1467724,126.9147562,찜닭,062-233-3378,2010-06-30
94,열도지,"광주광역시 동구 제봉로82번길 17, 1층 (서석동)",35.1470991,126.9231321,짜장면,062-227-5888,2010-06-30
95,우가미가,"광주광역시 광산구 왕버들로 141, (수완동,676-30(1층,2층))",35.2010659,126.826062,꽃등심,062-961-9933,2010-06-30
96,대명한우촌,"광주광역시 서구 월드컵4강로 234, (쌍촌동,(일층))",35.1571219,126.8696322,소고기,062-376-2112,2010-07-01
97,제주삼다갈치,"광주광역시 동구 구성로204번길 28, (대인동,(1층))",35.1516378,126.9166849,조림,062-225-2332,2010-06-30
98,황솔촌 충장점,"광주광역시 동구 중앙로160번길 16-10, 1~2층 (호남동)",35.1472186,126.9140976,식육(돼지갈비),062-222-4815,2009-06-30
99,씨제이푸드빌(주) 빕스광주상무점,"광주광역시 서구 시청로 57, 5층 (치평동)",35.1536234,126.8512051,"스테이크,셀러드바",062-376-1997,2009-06-30
100,명지원명가,"광주광역시 서구 운천로 237, (치평동,(일,이층))",35.1536294,126.8544899,꽃등심,062-383-7599,2009-06-30
101,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
102,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
103,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
104,영빈관,"광주광역시 서구 풍암순환로128번길 75, 지상2층 (풍암동)",35.1285985,126.8853826,한정식,062-384-6000,2009-06-30
105,파파샤브,"광주광역시 서구 운천로 111, (쌍촌동,(단층))",35.1424203,126.8574101,샤브샤브,062-381-8788,2009-06-30
106,(주)캘리스코 사보텐 광주신세계,"광주광역시 서구 무진대로 932, 지하1층 (광천동, 신세계백화점)",35.1605431,126.8826817,돈까스,062-360-1970,2009-01-02
107,씨제이푸드빌(주)빕스광주충장로점,"광주광역시 동구 천변우로 421, 2층 (불로동)",35.1463559,126.9149924,경양식(샐러드),062-224-1997,2009-06-30
108,신락원,"광주광역시 동구 충장로 45-9, 외3필지 2층 (충장로5가)",35.1506403,126.9132948,중국식(탕수육),062-225-9408,2009-06-30
109,목포복집,"광주광역시 동구 구성로 150, (수기동,(1층))",35.1504824,126.9097169,한식백반,062-223-8544,2009-06-30
110,바푸리포(전대점),"광주광역시 북구 호동로 3-2, (용봉동)",35.1746871,126.9131638,"김밥,덮밥",062-268-8295,2009-09-10
111,오리명가,"광주광역시 북구 우치로 72, (중흥동)",35.1711781,126.9172974,"오리훈제,삼계탕",062-262-4488,2009-09-10
112,한우프라자,"광주광역시 북구 민주로 64, 1층 (운정동)",35.2210885,126.9487101,등심,062-266-5180,2009-09-10
113,우미관,"광주광역시 북구 서강로 75-2, (운암동,(지상1층))",35.1788744,126.8700667,"갈비살,등심",062-531-3352,2009-09-10
114,여서도,"광주광역시 북구 운용로95번길 5-4, (용봉동,(1층))",35.1772745,126.8964631,모듬회,062-515-1991,2009-09-10
115,무등골한우식육식당,"광주광역시 북구 양산로 6, (양산동,1층)",35.2108291,126.8750046,등심,062-571-9290,2009-09-10
116,서석정,"광주광역시 북구 설죽로404번길 12, (삼각동,(지상1층))",35.1952539,126.9012734,한정식,062-263-0077,2009-09-10
117,김영희강남동태찜,"광주광역시 북구 양산택지로 152, (본촌동,(1층))",35.2176068,126.8789234,동태찜,062-575-1551,2009-09-10
118,허가네산약초오리,"광주광역시 북구 문산로 27-6, (문흥동)",35.1848303,126.9218331,오리전골,062-251-1233,2009-09-10
119,김영희 강남동태찜,"광주광역시 남구 독립로54번길 34, (백운동,(1층))",35.1383793,126.9054431,"동태찜, 동태탕",062-655-7574,2009-06-29
120,털보네집,"광주광역시 북구 서하로 382, (문흥동)",35.185216,126.9218247,등심,062-263-0976,2008-10-20
121,"원할머니보쌈,족발과박가부대찌개광주매곡점","광주광역시 북구 설죽로 342, (오치동, 101호)",35.1899395,126.8995079,보쌈,062-573-5656,2008-10-20
122,등촌,"광주광역시 북구 서방로107번길 100, (두암동,1층)",35.1742208,126.9272854,샤브샤브,062-266-1100,2008-10-20
123,놀부보쌈놀부부대찌개(일곡점),"광주광역시 북구 송해로 63, (일곡동)",35.2039649,126.8996065,"보쌈,부대찌개",062-571-1500,2008-10-20
124,우미횟집,"광주광역시 북구 북문대로33번길 3, (운암동)",35.1746062,126.8815966,회정식,062-512-3302,2008-10-20
125,동경,"광주광역시 서구 상무연하로 46, (치평동,(이층))",35.15223,126.8505508,점심특선초밥,062-385-0056,2008-01-01
126,초당순두부,"광주광역시 북구 설죽로217번길 6-11, (용봉동,(1층))",35.1794954,126.8969469,김치찌개,062-525-1107,2008-10-20
127,전승규감자탕이야기,"광주광역시 북구 서하로 153, 1층 (매곡동)",35.1915588,126.8987548,감자탕,062-266-0385,2008-10-20
128,전승규감자탕이야기,"광주광역시 북구 서하로 153, 1층 (매곡동)",35.1915588,126.8987548,감자탕,062-266-0385,2008-10-20
129,모정,"광주광역시 북구 오문로 236, (문흥동,(1층))",35.1894899,126.9305116,오리전골,062-261-5279,2008-10-20
130,참일능이,"광주광역시 광산구 첨단중앙로182번길 46, (쌍암동)",35.221654,126.8464027,장어,062-973-5955,2008-07-01
131,참일능이,"광주광역시 광산구 첨단중앙로182번길 46, (쌍암동)",35.221654,126.8464027,장어,062-973-5955,2008-07-01
132,청하,"광주광역시 동구 충장로 45-12, (충장로4가,외3필지(1층))",35.1499751,126.9136044,회정식,062-223-7037,2008-06-24
133,구수숯불갈비,"광주광역시 동구 필문대로191번길 15-10, (산수동,(1층))",35.1535787,126.9331647,숯불갈비,062-225-4296,2008-06-24
134,뜰안채,"광주광역시 동구 문화전당로26번길 10-4, 2층 (남동)",35.1450431,126.9206022,한정식,062-234-8118,2008-06-24
135,남해가든,"광주광역시 남구 봉선로133번길 23, (봉선동,(1,2층))",35.1251333,126.9096358,"구이,갈비탕,불백",062-671-8348,2007-12-05
136,오리삼형제,"광주광역시 북구 설죽로 506-7, (일곡동)",35.2048758,126.8990671,오리,062-572-3633,2007-11-27
137,풍천애장어,"광주광역시 북구 저불로 77, (용봉동)",35.1813656,126.8952441,장어구이,062-511-4952,2007-11-27
138,부원(富園)한방삼계탕,"광주광역시 북구 설죽로336번길 3, (오치동)",35.1895738,126.8997303,한방삼계탕,062-268-9900,2007-11-27
139,(유)옥천면옥,"광주광역시 북구 무등로 144, (신안동)",35.1631119,126.9042929,"갈비탕,양념갈비",062-528-3888,2007-11-27
140,빛고을떡갈비,"광주광역시 광산구 광산로29번길 14, (송정동)",35.1398535,126.7943786,"떡갈비,비빔밥",062-944-6670,2007-03-26
141,새송정,"광주광역시 광산구 광산로 31, (송정동)",35.1389461,126.7950394,"떡갈비,비빔밥",062-941-3353,2007-03-26
142,동원게장백반,"광주광역시 동구 지호로 128, (지산동,(1층))",35.1491293,126.9424985,게장백반,062-223-7200,2007-06-20
143,더솥(THE 솥),"광주광역시 서구 무진대로 932, 지하1층 (광천동, 신세계백화점)",35.1605431,126.8826817,불낙전골,062-360-1256,2007-05-01
144,고려조삼계탕,"광주광역시 동구 금남로 231, (금남로2가,(점포21개))",35.148751,126.9175056,삼계탕,062-224-2525,2007-06-20
145,옥이반상,"광주광역시 서구 무진대로 932, 지하1층 (광천동, 신세계백화점)",35.1605431,126.8826817,한식,062-360-1979,2007-05-01
146,동해바다,"광주광역시 동구 충장로46번길 6-1, (충장로5가)",35.1500194,126.9127083,회정식,062-224-4844,2007-06-20
147,달맞이흑두부,"광주광역시 광산구 북문대로 500-17, (신창동)",35.1929892,126.8549149,두부백반,062-972-8465,2006-07-28
148,광양숯불구이지산점,"광주광역시 동구 필문대로 229, (지산동)",35.15028,126.9305486,숯불구이,062-226-8080,2006-12-18
149,백담흑염소,"광주광역시 동구 밤실로 105-2, 1층 (산수동)",35.156866,126.9356144,양식,062-263-0888,2006-12-18
150,김가원,"광주광역시 서구 상무민주로123번길 13-7, (쌍촌동,(일층))",35.1612018,126.8581189,홍어정식,062-383-8700,2006-06-26
151,복어촌,"광주광역시 북구 비엔날레로 191-7, (용봉동)",35.1833314,126.8976065,"복탕,복지리",062-522-1650,2006-06-30
152,생복아구찜명가,"광주광역시 북구 설죽로 316-5, (오치동)",35.1875813,126.8994848,아구찜,062-266-1133,2006-06-30
153,살맛나는세상,"광주광역시 남구 광복마을길 71, (진월동,(일층))",35.1242248,126.8968961,"생삼겹살,굴밥",062-676-8592,2006-07-03
154,신락원,"광주광역시 동구 의재로 71, (학동,(1.2층))",35.1322356,126.9354138,탕수육,062-227-6882,2006-06-22
155,람바다,"광주광역시 북구 갈마로 57, (두암동)",35.1620237,126.9368446,모듬회,062-261-8085,2005-09-23
156,한솔,"광주광역시 광산구 고봉로 257, (장수동)",35.1771793,126.7826607,꿩요리,062-956-2877,2005-06-30
157,매월농원,"광주광역시 광산구 구촌반촌길 242, (신창동)",35.1910631,126.8500766,오리구이,062-954-5164,2005-06-30
158,등뼈,"광주광역시 북구 황계로55번길 12-7, (운암동)",35.1782331,126.8752508,뼈해장국,062-676-1205,2005-09-23
159,화꾸소흑도새기,"광주광역시 북구 설죽로320번길 4, (오치동)",35.1878358,126.8995143,"소고기, 오겹살",062-266-3392,2005-12-15
160,뼈다귀천국,"광주광역시 북구 경열로 252, (중흥동)",35.1615846,126.9079499,감자탕,062-521-5544,2005-12-15
161,산일능이버섯백숙,"광주광역시 북구 안산로 37, (오치동)",35.1906145,126.9018716,"닭백숙, 오리백숙",062-263-1500,2005-12-15
162,나주곰탕,"광주광역시 북구 북문대로 160, (운암동)",35.1829357,126.8723468,곰탕,062-521-2762,2005-12-15
163,나주곰탕,"광주광역시 북구 북문대로 160, (운암동)",35.1829357,126.8723468,곰탕,062-521-2762,2005-12-15
164,두암골 숯불갈비,"광주광역시 동구 갈마로 56, (산수동,1층)",35.1615117,126.9366339,삼겹살,062-251-8216,2005-06-24
165,벽옥,"광주광역시 남구 군분로 73, (월산동,(일층))",35.1395974,126.8919922,삼겹살,062-367-3392,2005-12-26
166,샹하이,"광주광역시 서구 시청서편로4번길 21, (치평동,(일층,이층))",35.1592842,126.8479919,중화요리,062-383-1134,2005-12-08
167,만리장성,"광주광역시 북구 북문대로 42, (운암동)",35.1760532,126.8812391,"크림새우, 탕수육",062-511-6915,2005-06-24
168,박대감한우식육식당,"광주광역시 북구 저불로 69, (용봉동)",35.1807973,126.8952034,꽃등심,062-511-1073,2005-06-24
169,한국,"광주광역시 북구 반룡로28번길 27, (용봉동)",35.177792,126.9009364,삼겹살,062-527-5595,2005-06-24
170,예원,"광주광역시 남구 중앙로107번길 16, (구동,향교길22)",35.1464215,126.9100543,"비빔밥, 갈비탕",062-652-3926,2005-06-29
171,고흥장어나라,"광주광역시 동구 필문대로191번길 5-10, (산수동)",35.153647,126.932727,장어구이,062-223-9609,2005-04-01
172,해남장수촌닭,"광주광역시 북구 하서로 519, (본촌동)",35.220949,126.8829054,"촌닭,백숙",062-572-8825,2005-03-17
173,담양통추어탕,"광주광역시 서구 월드컵4강로229번길 47, (쌍촌동,(일층))",35.1548842,126.8658163,추어탕,062-384-9980,2005-06-30
174,칼국수대첩,"광주광역시 북구 능안로22번길 2, (문흥동)",35.1871752,126.9173323,칼국수,062-266-0775,2005-03-17
175,동곡꽃게장,"광주광역시 광산구 동곡로185번길 9-1, (하산동)",35.0992168,126.7571573,꽂게장 백반,062-943-5005,2004-09-30
176,광양숯불구이,"광주광역시 광산구 임방울대로801번길 76, (쌍암동)",35.2213811,126.846333,"육고기류, 비빕밥",062-972-4334,2004-06-30
177,화정떡갈비,"광주광역시 광산구 광산로29번길 6, (송정동)",35.1392358,126.7949791,떡갈비,062-944-1275,2004-03-31
178,형제송정,"광주광역시 광산구 광산로29번길 3, (송정동)",35.1390218,126.7946772,떡갈비,062-944-0595,2004-03-31
179,회뜨는마을,"광주광역시 서구 금화로73번길 6-10, 1층 (금호동)",35.1327621,126.8573289,자연산활어회,062-376-8287,2004-12-16
180,등촌,"광주광역시 남구 봉선로144번길 2, 1,2층 (봉선동)",35.1227215,126.9105665,소고기 샤브샤브,062-672-5292,2004-12-22
181,고려조삼계탕 상무점,"광주광역시 서구 상무번영로 4, 2층 (치평동)",35.1538758,126.8531874,삼계탕,062-371-8886,2004-12-16
182,오얏리돌솥밥,"광주광역시 북구 밤실로 178, (두암동)",35.1632905,126.9346251,돌솥밥,062-267-8500,2004-09-30
183,제주항,"광주광역시 동구 필문대로 200, (산수동,(1,2층))",35.1577437,126.9414497,갈치조림,062-233-1950,2004-12-15
184,예술영양돌솥,"광주광역시 북구 서방로107번길 86, (두암동)",35.1736998,126.9268795,돌솥밥,062-266-5566,2004-09-30
185,아웃백 스테이크하우스(상무점),"광주광역시 서구 상무연하로 41, (치평동,(이층,삼층))",35.1519982,126.8499615,꽃등심스테이크,062-374-3761,2004-06-23
186,동명가원식당,"광주광역시 동구 필문대로 230, (동명동,(1층))",35.1515929,126.9215496,꽃등심,062-232-8877,2004-12-15
187,집밥이야기,"광주광역시 남구 봉선2로 65-7, 1층 (봉선동)",35.1260559,126.9129994,"고등어불고기한상, 매콤 코다리 한상, 소갈비 우건 한상",062-652-5535,2004-07-21
188,명산송어,"광주광역시 북구 중흥로 104, (신안동)",35.1631609,126.9053274,"광어회, 우럭회",062-523-8585,2004-03-30
189,송죽헌,"광주광역시 동구 백서로137번길 8-1, (남동)",35.143081,126.9199236,한정식,062-222-4234,2004-07-29
190,금성칡냉면,"광주광역시 북구 송해로 77, (일곡동)",35.2051374,126.8991788,냉면,062-574-2354,2003-07-03
191,담양숯불갈비,"광주광역시 북구 호동로 10, (중흥동)",35.1746415,126.913811,돼지갈비,062-266-1799,2003-07-03
192,천하회관,"광주광역시 북구 서림로 105, (임동)",35.1624165,126.8978877,해물탕,062-521-7073,2003-07-03
193,버섯농장칼국수수제비잔치,"광주광역시 북구 북문대로232번길 9-5, (동림동)",35.1876044,126.8667013,칼국수,062-513-0867,2003-07-03
